attendance_percentage,avg_marks,assignment_completion,engagement_score,performance_gap,consistency_score,risk_score,risk_level
89.01765387724237,28.140527460952534,65.779547654885,73.03993656069318,60.87712641628983,60.87712641628983,0.75,HIGH
36.96189715826246,33.66146525965682,60.29632019861011,57.82898770801653,3.3004318986056376,3.3004318986056376,0.8,HIGH
82.20546563105442,84.60095876697505,87.4347507713677,83.36712295420611,-2.3954931359206313,2.3954931359206313,0.0953495159513079,LOW
22.681407901419362,28.61432376602589,79.83292756521604,44.60541276894044,-5.932915864606528,5.932915864606528,0.814976905998279,HIGH
21.25223775745632,50.0,76.43077634616421,10.0,-28.74776224254368,28.74776224254368,0.6846877938812492,MEDIUM
85.0,29.986139109227093,50.0,62.36656966880503,55.013860890772904,55.013860890772904,0.75,HIGH
86.88491646486852,78.34436066004439,78.91506096268799,63.897368812082,8.540555804824137,8.540555804824137,0.12644687698365817,LOW
16.716482084871323,39.0511918316939,52.402175826248325,43.08941074313626,-22.334709746822575,22.334709746822575,0.8127718277117917,HIGH
92.36824888706737,43.83971842678526,66.74782652477403,67.15816868483095,48.528530460282106,48.528530460282106,0.7,HIGH
84.55561840882704,87.34172385713482,90.27839349915587,78.95990772275304,-2.7861054483077794,2.7861054483077794,0.08404339579693054,LOW
99.04380558652392,84.63796558428531,93.81062187380665,86.46320163135826,14.405840002238605,14.405840002238605,0.04286744124672613,LOW
39.92924303024004,87.06396637433318,75.41838179234543,83.45193975045801,-47.13472334409314,47.13472334409314,0.3358277841460721,LOW
16.169821912555264,10.329054370938458,77.35158955012544,28.205538919377126,5.840767541616806,5.840767541616806,0.9640677513269249,HIGH
94.49148435603024,22.507644804273674,72.62677783773438,71.157366909497,71.98383955175657,71.98383955175657,0.75,HIGH
17.690215031947403,28.4424469141679,80.62831812868015,22.946639614012764,-10.752231882220496,10.752231882220496,0.8769582784830787,HIGH
100.0,15.0,76.45400438596108,70.40080055698527,85.0,85.0,0.75,HIGH
90.06225492885028,100.0,82.30048103174836,64.67401765402238,-9.93774507114972,9.93774507114972,0.051156951328303446,LOW
