attendance_percentage,avg_marks,assignment_completion,engagement_score,performance_gap,consistency_score,risk_level,risk_score
82.45071229516849,56.43010539025556,86.26915245800274,21.42741671367105,26.020606904912924,26.020606904912924,MEDIUM,0.30663778836654854
72.92603548243223,63.89001073892694,85.09982466564199,41.79031576738882,9.036024743505287,9.036024743505287,LOW,0.2730609387219711
84.71532807151038,58.05237877909714,63.14264277550116,52.085375061563106,26.662949292413245,26.662949292413245,MEDIUM,0.3123468321637804
97.84544784612038,72.2083609389224,90.4325159917473,68.29271604034321,25.637086907197983,25.637086907197983,LOW,0.16524063645129203
71.48769937914996,93.94357062923825,53.178511839620874,87.53157118535132,-22.455871250088293,22.455871250088293,LOW,0.1955614447998173
71.4879456457623,54.57915685717591,68.22468213631409,80.27099075417883,16.908788788586385,16.908788788586385,MEDIUM,0.3077310990758459
98.68819223261087,90.01640995536829,44.01641936783946,39.05485443415532,8.671782277242585,8.671782277242585,LOW,0.21481437865977632
86.51152093729362,54.36655855306225,100.0,56.82233023235565,32.14496238423138,32.14496238423138,LOW,0.24594415414945492
67.95788421097572,53.04745575006231,75.83210910898468,66.68026295145647,14.910428460913408,14.910428460913408,MEDIUM,0.31752886951386133
83.13840065378947,86.37189236686427,100.0,59.23144326217701,-3.233491713074798,3.233491713074798,LOW,0.12380687800275648
68.04873460781306,88.43872756015233,94.45309867735091,59.075505030897524,-20.38999295233927,20.38999295233927,LOW,0.166580278414411
68.01405369644614,87.02819873525308,88.06576784031844,27.099646857606018,-19.014145038806944,19.014145038806944,LOW,0.21564908701488247
78.62943407349051,43.68405183563718,69.44790150294202,39.639848674927904,34.94538223785334,34.94538223785334,MEDIUM,0.3787839898664036
46.30079633013303,60.68098043855898,61.16569935762644,56.13532331893599,-14.38018410842595,14.38018410842595,MEDIUM,0.3737383458248016
49.12623251230451,86.45977184006642,89.41348833014501,0.0,-37.33353932776191,37.33353932776191,LOW,0.2889781265387494
66.5656870613854,70.83083681127789,78.71274783308633,79.0941750402168,-4.265149749892487,4.265149749892487,LOW,0.23457360120631335
59.80753319498364,48.526143076050715,55.89313432126458,34.80105980635647,11.281390118932926,11.281390118932926,MEDIUM,0.41959679945443595
79.71370998892911,79.16635878250884,52.69654850285026,80.11043893183303,0.5473512064202737,0.5473512064202737,LOW,0.22826046394903746
61.37963886718184,55.70385482017059,62.74333287541549,78.17615209836002,5.675784047011248,5.675784047011248,MEDIUM,0.3314523045693539
53.81544447997062,100.0,100.0,53.03875305152754,-46.18455552002938,46.18455552002938,LOW,0.1624226357485459
96.98473153382331,100.0,100.0,87.01206316543383,-3.0152684661766926,3.0152684661766926,LOW,0.020526108000007905
71.61335549270197,82.08194852711135,83.68980465156038,81.35034158834853,-10.46859303440938,10.46859303440938,LOW,0.1759908147954417
76.01292307031886,97.22013409539548,82.6809703323432,58.20284764163791,-21.207211025076617,21.207211025076617,LOW,0.1447425017316921
53.62877720679815,71.29582700246762,73.94623330706862,55.721288465782635,-17.66704979566947,17.66704979566947,LOW,0.2984268208956819
66.83425913212226,85.30874988750031,63.17926373042896,89.13912128461584,-18.474490755378056,18.474490755378056,LOW,0.21149045376171965
76.66383884564799,99.5544059060415,100.0,70.10430446696861,-22.890567060393508,22.890567060393508,LOW,0.08957288070078694
57.73509633866546,74.90997363588626,100.0,87.98333770409913,-17.174877297220803,17.174877297220803,LOW,0.19294900054157846
80.63547027518509,64.89625656971432,63.91845645489286,12.442570364239785,15.73921370547076,15.73921370547076,MEDIUM,0.32918228503433966
65.99041965121792,35.907560836457684,78.50890918835717,67.16667213442817,30.082858814760236,30.082858814760236,MEDIUM,0.3831996366661999
70.62459375310085,68.33732948557012,71.90240658721697,30.297000086673798,2.2872642675307304,2.2872642675307304,LOW,0.2966119781669605
65.97440081655904,86.46846369124623,72.43569665243041,64.43265283529121,-20.494062874687188,20.494062874687188,LOW,0.21635456074471168
100.0,88.9126685513526,100.0,80.70404458360944,11.087331448647404,11.087331448647404,LOW,0.06364528121098018
74.79754162893099,80.08730131436819,56.38469218340981,100.0,-5.289759685437204,5.289759685437204,LOW,0.20997485761774834
59.13433606566149,59.174018100755205,88.39645443685352,44.36033197438191,-0.03968203509371193,0.03968203509371193,MEDIUM,0.3034888646854917
87.33817368154783,30.46356862104819,93.10828593150558,53.43449428335637,56.87460506049964,56.87460506049964,HIGH,0.7
56.68734525043467,60.0956980399053,77.44127887516726,62.898276044338175,-3.4083527894706336,3.4083527894706336,MEDIUM,0.3102137089595247
78.13295392507133,63.91310257892097,96.07522088576191,43.56031576783841,14.219851346150364,14.219851346150364,LOW,0.24143740125734683
45.60494814180336,63.741420656199715,82.6577331296741,86.52831403336366,-18.136472514396353,18.136472514396353,LOW,0.2929195873841806
55.07720926652354,82.3711271395585,100.0,63.45792000195628,-27.293917873034957,27.293917873034957,LOW,0.2017356754130594
77.95291853803685,100.0,52.60030451133463,67.68305451427301,-22.047081461963145,22.047081461963145,LOW,0.1822340401179656
86.07699869993115,72.47058403682186,73.72204530187635,78.6438087890315,13.606414663109291,13.606414663109291,LOW,0.20491426641003166
77.57052421784955,65.66536421687077,78.70736342868138,63.422346639740994,11.905160000978782,11.905160000978782,LOW,0.2501456833086389
73.2652757641764,64.81556373991815,31.900267079515714,47.01413918013097,8.449712024258247,8.449712024258247,MEDIUM,0.37002515805490044
70.48344456616067,72.48769533815428,60.45285079558637,63.613554757433725,-2.004250771993611,2.004250771993611,LOW,0.27180904622152896
52.82217014448859,53.43412479303202,65.35521342154185,46.16401009070544,-0.6119546485434313,0.6119546485434313,MEDIUM,0.38076776332589335
64.20233687407936,72.4039711749211,97.06770790682029,67.3755795605627,-8.201634300841732,8.201634300841732,LOW,0.21077124891583504
68.09041843560318,79.016246726636,67.2768197663372,86.93262985763953,-10.925828291032815,10.925828291032815,LOW,0.22123894434077013
90.85683339328374,74.19372127148976,65.27457822849242,39.150477570008704,16.663112121793972,16.663112121793972,LOW,0.2472402307971218
80.15427434352692,79.15083868009563,94.71474405181145,31.28783796827397,1.00343566343129,1.00343566343129,LOW,0.19244790769243017
48.554397669558995,78.6749521869707,50.87760837577902,66.08349859023284,-30.120554517411705,30.120554517411705,MEDIUM,0.32475043392339964
79.86125954092192,34.562066355071124,42.7176067860157,48.10840843163407,45.2991931858508,45.2991931858508,MEDIUM,0.4584162232646672
69.22376579375525,82.73740316790807,73.49133859875177,65.69839603706332,-13.513637374152822,13.513637374152822,LOW,0.21604730277732082
64.84616999541062,56.579703086750925,53.941278174589605,72.04887745341341,8.266466908659694,8.266466908659694,MEDIUM,0.34648049885728777
84.17514433261302,48.08321673992084,54.62577269612632,17.83890296357213,36.09192759269217,36.09192759269217,MEDIUM,0.4043139681855724
90.46499283743927,47.910963442900076,90.32180825038367,80.17668740848792,42.55402939453919,42.55402939453919,HIGH,0.7
88.96920178674299,78.67083220945058,95.76752908242642,39.267292934984525,10.298369577292405,10.298369577292405,LOW,0.1710605173822458
62.41173715166042,65.54850145550294,94.19955588533826,64.50834508757683,-3.1367643038425257,3.1367643038425257,LOW,0.24441769589608678
70.36181436223178,36.360624320291784,99.9579798855302,50.49358862035454,34.00119004194,34.00119004194,MEDIUM,0.34860523278407024
79.96895147105346,79.56075630384566,100.0,52.856945674745525,0.4081951672077935,0.4081951672077935,LOW,0.15894660190329163
89.63317690683539,41.20783738402345,41.68537624111524,100.0,48.42533952281194,48.42533952281194,HIGH,0.7
67.81238643232065,72.79642717036421,88.1074152787304,72.02388545750455,-4.984040738043561,4.984040738043561,LOW,0.21384103639314042
72.21511535004274,74.76997851346108,70.46705240774794,84.903144864979,-2.5548631634183465,2.5548631634183465,LOW,0.219315026404035
58.40497538990958,87.7115416339009,66.54636357217215,68.32070979246035,-29.306566243991313,29.306566243991313,LOW,0.23943949968671874
57.05690063878994,100.0,90.0874633797567,78.640298642409,-42.94309936121006,42.94309936121006,LOW,0.14854252300110277
87.18788733591298,42.706473481989164,48.85468136187647,74.18232396715594,44.48141385392381,44.48141385392381,HIGH,0.7
95.34360042856234,68.95052287873901,48.48004509429824,70.59803518311017,26.39307754982333,26.39307754982333,LOW,0.2636243824704938
73.91984817629499,64.47329409911565,91.40430939347091,89.35743000162296,9.446554077179343,9.446554077179343,LOW,0.20906100255053012
90.05299346838036,78.67499371921924,88.78014831519616,68.44311998457394,11.37799974916112,11.37799974916112,LOW,0.1542171183055862
80.42454037571451,74.31337541867236,82.46118780568719,100.0,6.111164957042149,6.111164957042149,LOW,0.1671873121503644
65.32320368092314,62.9490751452676,64.16155871498354,86.13169460187363,2.3741285356555437,2.3741285356555437,LOW,0.2857640818657041
80.4209340826262,61.18195622778289,93.38893342247823,39.93010464972683,19.238977854843313,19.238977854843313,LOW,0.2579328024702458
98.07054849698955,47.670982896319046,92.24545205708857,61.11590640237439,50.3995656006705,50.3995656006705,HIGH,0.7
74.46260941335073,89.75723164813019,81.53548127085418,73.7357071887947,-15.294622234779453,15.294622234779453,LOW,0.1577651117917295
98.4696548372101,79.18408363199059,58.80822125714411,65.97893038566481,19.28557120521951,19.28557120521951,LOW,0.20196381031626945
35.703823438653835,88.35536395590275,72.34552977686887,80.1112152173877,-52.65154051724891,52.65154051724891,LOW,0.27087207476453173
87.32853756562835,63.79207727048973,95.08100619543997,82.53436750634522,23.536460295138625,23.536460295138625,LOW,0.19114250467237337
76.30570602357257,56.86329062611139,100.0,35.08908631242278,19.442415397461176,19.442415397461176,LOW,0.27299919214777274
70.51488974301199,48.43369866741544,74.1223411392261,93.18370598376288,22.08119107559655,22.08119107559655,MEDIUM,0.3090644824536051
76.37641164803253,77.17835167481319,75.50588657945127,54.070015759307026,-0.801940026780656,0.801940026780656,LOW,0.2224421269372695
45.18646628098661,49.204135509435304,77.0895960555489,51.890100870975346,-4.017669228448696,4.017669228448696,MEDIUM,0.3833521347871544
71.70492168243732,100.0,84.9480741603975,51.819307360478106,-28.295078317562684,28.295078317562684,LOW,0.1490222401126336
80.35668857267619,43.847148378131195,69.54078859891958,82.78868093179283,36.509540194544996,36.509540194544996,MEDIUM,0.3322061154988289
97.16841067112274,75.47320238425004,27.904668963711494,59.12451064074871,21.6952082868727,21.6952082868727,LOW,0.28742072588814405
67.22594672589528,100.0,100.0,50.40186382457044,-32.774053274104716,32.774053274104716,LOW,0.13153326936069135
62.87259595660218,81.98179518527618,100.0,55.67289853624218,-19.109199228674,19.109199228674,LOW,0.19120022601642378
67.47364434623195,73.51347424983558,68.97680252709718,25.516783503850704,-6.039829903603632,6.039829903603632,LOW,0.29730507782686827
